class,precision,recall,f1,support
walking,0.8571428571428571,0.7058823529411765,0.7741935483870968,34
standing,0.868421052631579,0.75,0.8048780487804879,44
sitting,0.6222222222222222,0.8235294117647058,0.7088607594936709,34
fall,0.9444444444444444,1.0,0.9714285714285714,17
