clip_length_frames,clips,walking,standing,sitting,fall,left_padded,right_padded,mean_physical_post_impact_s,min_pre_event_context_s,fall_clips_event_start_inside,fall_clips_impact_inside,fall_clips_post_context_at_least_0p75s,cross_session_clips,feature_names
50,515,136,171,135,73,20,9,0.715068493150685,-0.1499999999999999,71,73,64,0,"[""x"", ""y"", ""z"", ""dop_idx"", ""range_m"", ""azimuth_deg"", ""elevation_deg""]"
60,515,136,171,135,73,28,18,0.9212328767123288,0.10000000000000009,73,73,64,0,"[""x"", ""y"", ""z"", ""dop_idx"", ""range_m"", ""azimuth_deg"", ""elevation_deg""]"
