clip_length_frames,clip_length_s,fold,train_clips,validation_clips,test_clips,train_sessions,validation_sessions,test_sessions,selected_threshold,best_epoch,epochs_ran,best_validation_loss,runtime_s,clip_accuracy,clip_macro_f1,clip_fall_precision,clip_fall_recall,clip_fall_f1,threshold,session_fall_precision,session_fall_recall,session_fall_f1,nonfall_sessions_alerted,false_alerts_per_nonfall_session,mean_delay_event_start_s,mean_delay_impact_s,fall_sessions_no_alert,fall_sessions_multiple_alerts,repeated_alerts_per_fall_session,causal_current_or_past_only
50,2.5,1,321,65,129,321,65,129,0.2,24,36,0.5186156354271448,14.725158667002688,0.7906976744186046,0.8148402320224568,0.9444444444444444,1.0,0.9714285714285714,0.2,0.6956521739130435,0.9411764705882353,0.7999999999999999,7,0.0625,1.2968750000000002,0.23125,1,0,0.0,True
50,2.5,2,322,64,129,322,64,129,0.7,8,20,0.563482254743576,7.826684250001563,0.751937984496124,0.7564786282299277,0.7894736842105263,0.8333333333333334,0.8108108108108109,0.7,0.7777777777777778,0.7777777777777778,0.7777777777777778,4,0.04504504504504504,1.8214285714285714,0.7821428571428573,4,0,0.0,True
50,2.5,3,322,65,128,322,65,128,0.85,17,29,0.48609547500426953,10.93050708300143,0.7109375,0.6975489318534431,0.68,0.85,0.7555555555555555,0.85,0.9047619047619048,0.95,0.9268292682926829,2,0.018518518518518517,1.8973684210526314,1.1289473684210527,1,1,0.05,True
50,2.5,4,321,65,129,321,65,129,0.75,20,32,0.370054213817303,15.594621416996233,0.7906976744186046,0.8004738504738504,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.75,0.8823529411764706,0.8333333333333334,0.8571428571428571,2,0.018018018018018018,1.7833333333333334,0.8500000000000001,3,0,0.0,True
60,3.0,1,321,65,129,321,65,129,0.9,31,43,0.49136311297233287,18.142173792002723,0.8217054263565892,0.8286971895286032,0.8095238095238095,1.0,0.8947368421052632,0.9,0.8421052631578947,0.9411764705882353,0.8888888888888888,3,0.026785714285714284,1.45,0.34375,1,0,0.0,True
60,3.0,2,322,64,129,322,64,129,0.9,25,37,0.4825466722249985,17.02903658300056,0.7984496124031008,0.7887092074592075,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.9,0.875,0.7777777777777778,0.823529411764706,2,0.018018018018018018,2.039285714285714,1.0,4,0,0.0,True
60,3.0,3,322,65,128,322,65,128,0.7,17,29,0.4161667448969988,12.389269874998718,0.7578125,0.7514322089804374,0.9285714285714286,0.65,0.7647058823529411,0.7,0.9411764705882353,0.8,0.8648648648648648,1,0.009259259259259259,2.146875,1.3999999999999997,4,0,0.0,True
60,3.0,4,321,65,129,321,65,129,0.65,20,32,0.37357723116874697,13.277868666998984,0.7984496124031008,0.8063227765823296,0.8823529411764706,0.8333333333333334,0.8571428571428571,0.65,0.7894736842105263,0.8333333333333334,0.8108108108108109,4,0.036036036036036036,2.0066666666666664,1.0733333333333335,3,0,0.0,True
