class,precision,recall,f1,support
walking,0.6842105263157895,0.8125,0.7428571428571429,32
standing,0.7450980392156863,0.8837209302325582,0.8085106382978723,43
sitting,0.8,0.6060606060606061,0.6896551724137931,33
fall,0.9285714285714286,0.65,0.7647058823529411,20
