class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,total_support
walking,0.7568825910931174,0.06040635172625631,0.8884191176470588,0.06452067827078967,0.816621819960861,0.055227825804304284,136
standing,0.8310801213938721,0.057666612606939054,0.7948454339194555,0.068948063381516,0.8090489261555549,0.018171484080633217,171
sitting,0.800308293856681,0.08020563591373711,0.6795008912655971,0.0931002465229575,0.7280365487262039,0.0283269261254361,135
fall,0.8336834733893558,0.09347362439102531,0.8291666666666667,0.1429678803606419,0.8214540877079577,0.06478601742047478,73
