fold,heldout_sessions,source_session_overlap_count,checkpoint,normalization_source,normalization_fit,normalization_reproduction_max_abs_error,padding_mask_handling,padded_heldout_clips,minimum_valid_frames,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
1,129,0,/Users/stella/Documents/HKUST_26_Fall/Project/radar/outputs/event_centered_clips_sgkf4_20260731_rebuild01/50_frame/fold_1/cnn_lstm_event_centered.pt,/Users/stella/Documents/HKUST_26_Fall/Project/radar/outputs/event_centered_clips_sgkf4_20260731_rebuild01/50_frame/fold_1/cnn_lstm_event_centered.pt::normalization,fold real training clips only,0.0,saved edge-padded canonical clips used exactly as CNN inference; mask audited,4,43,0.7906976744186046,0.8230576441102757,0.8198529411764706,0.8148402320224568,0.8105774772849437,0.7906976744186046,0.793432297120723
2,129,0,/Users/stella/Documents/HKUST_26_Fall/Project/radar/outputs/event_centered_clips_sgkf4_20260731_rebuild01/50_frame/fold_2/cnn_lstm_event_centered.pt,/Users/stella/Documents/HKUST_26_Fall/Project/radar/outputs/event_centered_clips_sgkf4_20260731_rebuild01/50_frame/fold_2/cnn_lstm_event_centered.pt::normalization,fold real training clips only,0.0,saved edge-padded canonical clips used exactly as CNN inference; mask audited,7,30,0.751937984496124,0.7574086714998587,0.7632714185039766,0.7564786282299277,0.754031066141453,0.751937984496124,0.7488359187958418
3,128,0,/Users/stella/Documents/HKUST_26_Fall/Project/radar/outputs/event_centered_clips_sgkf4_20260731_rebuild01/50_frame/fold_3/cnn_lstm_event_centered.pt,/Users/stella/Documents/HKUST_26_Fall/Project/radar/outputs/event_centered_clips_sgkf4_20260731_rebuild01/50_frame/fold_3/cnn_lstm_event_centered.pt::normalization,fold real training clips only,0.0,saved edge-padded canonical clips used exactly as CNN inference; mask audited,10,22,0.7109375,0.7118560606060607,0.708420322410148,0.6975489318534431,0.7149029356060606,0.7109375,0.7000490437403031
4,129,0,/Users/stella/Documents/HKUST_26_Fall/Project/radar/outputs/event_centered_clips_sgkf4_20260731_rebuild01/50_frame/fold_4/cnn_lstm_event_centered.pt,/Users/stella/Documents/HKUST_26_Fall/Project/radar/outputs/event_centered_clips_sgkf4_20260731_rebuild01/50_frame/fold_4/cnn_lstm_event_centered.pt::normalization,fold real training clips only,0.0,saved edge-padded canonical clips used exactly as CNN inference; mask audited,8,19,0.7906976744186046,0.802842333105491,0.8061943476577623,0.8004738504738504,0.8012004994869133,0.7906976744186046,0.7912119307468145
