stream_offset,frame_id,message_type,payload_length,report,record_index,target_num,cluster_id,x_m,y_m,z_m,dop_idx,speed_m_s,area0,area1,area2,area3,detected
1617,1106,0x0A04,24,target_list,0,1,1,0.14874990284442902,0.7341737151145935,-0.13856367766857147,0,,,,,,
1650,1107,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
1675,1108,0x0A04,24,target_list,0,1,1,0.14874990284442902,0.7341737151145935,-0.13856367766857147,0,,,,,,
1708,1109,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
1733,1110,0x0A04,24,target_list,0,1,1,0.14874990284442902,0.7341737151145935,-0.13856367766857147,0,,,,,,
1766,1111,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
1791,1112,0x0A04,24,target_list,0,1,1,0.14874990284442902,0.7341737151145935,-0.13856367766857147,0,,,,,,
1824,1113,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
1849,1114,0x0A04,24,target_list,0,1,1,0.14874990284442902,0.7341737151145935,-0.13856367766857147,0,,,,,,
1882,1115,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
1907,1116,0x0A04,24,target_list,0,1,1,0.14874990284442902,0.7341737151145935,-0.13856367766857147,0,,,,,,
1940,1117,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
1965,1118,0x0A04,24,target_list,0,1,1,0.14874990284442902,0.7341737151145935,-0.13856367766857147,0,,,,,,
1998,1119,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
2023,1120,0x0A04,24,target_list,0,1,1,0.14874990284442902,0.7341737151145935,-0.13856367766857147,0,,,,,,
2056,1121,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
2081,1122,0x0A04,24,target_list,0,1,1,0.14874990284442902,0.7341737151145935,-0.13856367766857147,0,,,,,,
2114,1123,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
2139,1124,0x0A04,24,target_list,0,1,1,0.14874990284442902,0.7341737151145935,-0.13856367766857147,0,,,,,,
2172,1125,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
2197,1126,0x0A04,24,target_list,0,1,1,0.14874990284442902,0.7341737151145935,-0.13856367766857147,0,,,,,,
2230,1127,0x0A0A,16,area_presence,,,,,,,,,1,302055424,168820739,130826,1
2269,4612,0x0A04,24,target_list,0,1,1,-0.21619941294193268,0.5690242648124695,-0.48965099453926086,0,,,,,,
2302,4613,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
2327,4614,0x0A04,24,target_list,0,1,1,-0.21619941294193268,0.5690242648124695,-0.48965099453926086,0,,,,,,
2360,4615,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
2385,4616,0x0A04,24,target_list,0,1,1,-0.21619941294193268,0.5690242648124695,-0.48965099453926086,0,,,,,,
