timestamp,activity,frame,cluster_id,x,y,z,dop_idx
2026-07-15T13:59:18.341370,falling,0,1,-0.09078598022460938,1.5172251462936401,-1.0881389379501343,-1
2026-07-15T13:59:18.391397,falling,1,1,0.16506154835224152,2.0807652473449707,-0.691125750541687,0
2026-07-15T13:59:18.441951,falling,2,1,0.20568542182445526,2.0786173343658447,-0.7042125463485718,0
2026-07-15T13:59:18.491029,falling,3,1,0.24900998175144196,2.0869264602661133,-0.7883671522140503,0
2026-07-15T13:59:18.540768,falling,4,1,0.18649442493915558,2.0845348834991455,-0.7889821529388428,0
2026-07-15T13:59:18.591024,falling,5,1,0.1708788424730301,2.089533805847168,-0.8596977591514587,0
2026-07-15T13:59:18.641882,falling,6,1,0.15958593785762787,2.084939956665039,-0.7871410250663757,0
2026-07-15T13:59:18.691855,falling,7,1,0.15958593785762787,2.084939956665039,-0.7871410250663757,0
2026-07-15T13:59:18.740628,falling,8,1,0.15958593785762787,2.084939956665039,-0.7871410250663757,0
2026-07-15T13:59:18.791113,falling,9,1,0.14566832780838013,2.0829288959503174,-0.8117918372154236,0
2026-07-15T13:59:18.840716,falling,10,1,0.14566832780838013,2.0829288959503174,-0.8117918372154236,0
2026-07-15T13:59:18.890645,falling,11,1,0.1589745134115219,2.093367576599121,-0.6013924479484558,0
2026-07-15T13:59:18.941057,falling,12,1,0.13279230892658234,2.081082344055176,-0.6497509479522705,-1
2026-07-15T13:59:18.991441,falling,13,1,0.13279230892658234,2.081082344055176,-0.6497509479522705,-1
2026-07-15T13:59:19.041884,falling,14,1,0.13279230892658234,2.081082344055176,-0.6497509479522705,-1
2026-07-15T13:59:19.091348,falling,15,1,0.1503986418247223,2.0861997604370117,-0.5464802980422974,0
2026-07-15T13:59:19.140672,falling,16,1,0.1503986418247223,2.0861997604370117,-0.5464802980422974,0
2026-07-15T13:59:19.192813,falling,17,1,0.13103020191192627,2.060396909713745,-0.705988883972168,0
2026-07-15T13:59:19.240710,falling,18,1,0.21109536290168762,2.074613332748413,-0.5937715768814087,0
2026-07-15T13:59:19.290710,falling,19,1,0.19674371182918549,2.07883620262146,-0.7692086696624756,0
2026-07-15T13:59:19.341038,falling,20,1,0.18211929500102997,2.0768754482269287,-0.9195623397827148,0
2026-07-15T13:59:19.391392,falling,21,1,0.16004443168640137,2.0775389671325684,-0.6173704862594604,0
2026-07-15T13:59:19.441412,falling,22,1,0.16004443168640137,2.0775389671325684,-0.6173704862594604,0
2026-07-15T13:59:19.490915,falling,23,1,0.16641800105571747,2.077066659927368,-0.9507200717926025,0
2026-07-15T13:59:19.542001,falling,24,1,0.17717589437961578,2.0666632652282715,-0.7102558016777039,0
2026-07-15T13:59:19.590638,falling,25,1,0.17717589437961578,2.0666632652282715,-0.7102558016777039,0
2026-07-15T13:59:19.641339,falling,26,1,0.19869615137577057,2.059257984161377,-1.0709986686706543,0
2026-07-15T13:59:19.691191,falling,27,1,0.16576796770095825,2.0461161136627197,-0.8652880787849426,2
2026-07-15T13:59:19.740703,falling,28,1,0.16576796770095825,2.0461161136627197,-0.8652880787849426,2
2026-07-15T13:59:19.790699,falling,29,1,0.17525364458560944,2.0283358097076416,-1.0296670198440552,2
2026-07-15T13:59:19.841032,falling,30,1,0.17937025427818298,1.998970866203308,-1.3892958164215088,2
2026-07-15T13:59:19.890685,falling,31,1,0.17937025427818298,1.998970866203308,-1.3892958164215088,2
2026-07-15T13:59:19.941550,falling,32,1,0.1824919432401657,1.9899415969848633,-1.258523941040039,3
2026-07-15T13:59:19.990694,falling,33,1,0.21041370928287506,1.9650684595108032,-1.3637231588363647,3
2026-07-15T13:59:20.040913,falling,34,1,0.23171496391296387,1.938903570175171,-1.4713939428329468,3
2026-07-15T13:59:20.091213,falling,35,1,0.23171496391296387,1.938903570175171,-1.4713939428329468,3
2026-07-15T13:59:20.141556,falling,36,1,0.22150017321109772,1.927328109741211,-1.360451340675354,0
2026-07-15T13:59:20.191238,falling,37,1,0.22150017321109772,1.927328109741211,-1.360451340675354,0
2026-07-15T13:59:20.241262,falling,38,1,0.18116645514965057,1.9217417240142822,-1.3406013250350952,-2
2026-07-15T13:59:20.292195,falling,39,1,0.15698684751987457,1.9205589294433594,-1.3822880983352661,0
2026-07-15T13:59:20.341990,falling,40,1,0.09978931397199631,1.9122469425201416,-1.333683967590332,0
2026-07-15T13:59:20.390605,falling,41,1,0.09978931397199631,1.9122469425201416,-1.333683967590332,0
2026-07-15T13:59:20.441418,falling,42,1,0.05251358449459076,1.9010957479476929,-1.2745836973190308,1
2026-07-15T13:59:20.490791,falling,43,1,0.05251358449459076,1.9010957479476929,-1.2745836973190308,1
2026-07-15T13:59:20.541995,falling,44,1,0.05251358449459076,1.9010957479476929,-1.2745836973190308,1
2026-07-15T13:59:20.591536,falling,45,1,0.02795989438891411,1.8852951526641846,-1.4203314781188965,2
2026-07-15T13:59:20.640757,falling,46,1,0.005588542204350233,1.8650763034820557,-1.3331868648529053,2
2026-07-15T13:59:20.691471,falling,47,1,-0.051361896097660065,1.876468539237976,-1.565049171447754,2
2026-07-15T13:59:20.741149,falling,48,1,-0.05609535425901413,1.8848350048065186,-1.3546106815338135,2
2026-07-15T13:59:20.790754,falling,49,1,-0.05609535425901413,1.8848350048065186,-1.3546106815338135,2
