class,precision,recall,f1,support
walking,0.7083333333333334,0.53125,0.6071428571428571,32
standing,0.7090909090909091,0.9069767441860465,0.7959183673469388,43
sitting,0.75,0.5454545454545454,0.631578947368421,33
fall,0.68,0.85,0.7555555555555555,20
