class,precision,recall,f1,support
walking,0.7209302325581395,0.8857142857142857,0.7948717948717948,35
standing,0.7692307692307693,0.6976744186046512,0.7317073170731707,43
sitting,0.75,0.6363636363636364,0.6885245901639344,33
fall,0.7894736842105263,0.8333333333333334,0.8108108108108109,18
