epoch,train_loss,train_acc,val_loss,val_acc
1,1.3177708201452132,0.3516819571865443,1.3300942104370868,0.3442622950819672
2,1.104463535711306,0.617737003058104,1.0545577572994544,0.6721311475409836
3,0.8502613464626697,0.7155963302752294,0.7798881345107908,0.7540983606557377
4,0.7183268482167422,0.72782874617737,0.6824140363052243,0.7540983606557377
5,0.5064193743084549,0.8226299694189603,0.5713192507868907,0.7540983606557377
6,0.4743119141012886,0.8256880733944955,0.5072812594351221,0.8524590163934426
7,0.515286671459128,0.7614678899082569,0.4635704990293159,0.8688524590163934
8,0.5068419429869462,0.7859327217125383,0.5275766282785134,0.8688524590163934
9,0.41853848127050136,0.8318042813455657,0.5894741474604998,0.7704918032786885
10,0.3945091102465942,0.8073394495412844,0.5901558350344174,0.7704918032786885
11,0.31584600151861114,0.8685015290519877,0.4993925241173291,0.8524590163934426
12,0.2651446223805804,0.9051987767584098,0.5828959726896442,0.8360655737704918
13,0.25248548178862357,0.8929663608562691,0.4417334614229984,0.8360655737704918
14,0.29114894190694945,0.8837920489296636,0.6169065911261762,0.819672131147541
15,0.2662578952421836,0.9021406727828746,0.6799056520227527,0.819672131147541
16,0.2927437548608226,0.8899082568807339,0.7228168239358996,0.7868852459016393
17,0.3377528828582997,0.8654434250764526,0.7396232026522277,0.7704918032786885
18,0.34637403150946355,0.8379204892966361,0.5903276527514223,0.7868852459016393
19,0.32767718811647606,0.8654434250764526,0.6889109914420081,0.7868852459016393
20,0.27424811013612543,0.8746177370030581,0.5895434232031713,0.8360655737704918
21,0.32285540621579606,0.8593272171253823,0.7150144733366419,0.7540983606557377
22,0.24091228068057186,0.8899082568807339,0.6052410543942061,0.8360655737704918
23,0.21373630855061593,0.9204892966360856,0.6318906105932642,0.7868852459016393
24,0.1883032807470826,0.9327217125382263,0.6922178502942695,0.819672131147541
25,0.17639507275838007,0.9235474006116208,0.5800061587427483,0.8360655737704918
