timestamp,activity,frame,cluster_id,x,y,z,dop_idx
2026-07-14T13:49:34.666058,sitting,0,1,0.21005092561244965,2.234151601791382,-0.8945435881614685,0
2026-07-14T13:49:34.716799,sitting,1,1,0.21005092561244965,2.234151601791382,-0.8945435881614685,0
2026-07-14T13:49:34.767581,sitting,2,1,0.005817515309900045,2.3366658687591553,-1.0158617496490479,0
2026-07-14T13:49:34.817299,sitting,3,1,0.005817515309900045,2.3366658687591553,-1.0158617496490479,0
2026-07-14T13:49:34.866218,sitting,4,1,0.005817515309900045,2.3366658687591553,-1.0158617496490479,0
2026-07-14T13:49:34.916719,sitting,5,1,0.005817515309900045,2.3366658687591553,-1.0158617496490479,0
2026-07-14T13:49:34.967474,sitting,6,1,0.005817515309900045,2.3366658687591553,-1.0158617496490479,0
2026-07-14T13:49:35.017077,sitting,7,1,0.005817515309900045,2.3366658687591553,-1.0158617496490479,0
2026-07-14T13:49:35.066186,sitting,8,1,0.005817515309900045,2.3366658687591553,-1.0158617496490479,0
2026-07-14T13:49:35.117228,sitting,9,1,0.005817515309900045,2.3366658687591553,-1.0158617496490479,0
2026-07-14T13:49:35.167236,sitting,10,1,0.005817515309900045,2.3366658687591553,-1.0158617496490479,0
2026-07-14T13:49:35.216783,sitting,11,1,0.005817515309900045,2.3366658687591553,-1.0158617496490479,0
2026-07-14T13:49:35.266537,sitting,12,1,0.005817515309900045,2.3366658687591553,-1.0158617496490479,0
2026-07-14T13:49:35.317052,sitting,13,1,0.005817515309900045,2.3366658687591553,-1.0158617496490479,0
2026-07-14T13:49:35.366175,sitting,14,1,0.005817515309900045,2.3366658687591553,-1.0158617496490479,0
2026-07-14T13:49:35.416655,sitting,15,1,0.005817515309900045,2.3366658687591553,-1.0158617496490479,0
2026-07-14T13:49:35.466268,sitting,16,1,0.005817515309900045,2.3366658687591553,-1.0158617496490479,0
2026-07-14T13:49:35.517043,sitting,17,1,0.005817515309900045,2.3366658687591553,-1.0158617496490479,0
2026-07-14T13:49:35.566170,sitting,18,1,0.005817515309900045,2.3366658687591553,-1.0158617496490479,0
2026-07-14T13:49:35.616966,sitting,19,1,0.005817515309900045,2.3366658687591553,-1.0158617496490479,0
