class,precision,recall,f1,support
walking,0.7333333333333333,0.9428571428571428,0.825,35
standing,0.8536585365853658,0.813953488372093,0.8333333333333334,43
sitting,0.9090909090909091,0.6060606060606061,0.7272727272727273,33
fall,0.7142857142857143,0.8333333333333334,0.7692307692307693,18
